CLIENTNUMBER,EntityType,ClientName,UnitDescription,Street,City,State_Prov,Country,Fax Number,EMail,URL,Zip Code,Telephone Number,Date Acquired,CountryCode,Industry,DateEntered,ClientType,AccountOfficer,ContactPerson
11191,2,"ABELMAN, FRAYNE & SCHWAB",,666 Third Avenue,"New York, NY 10017-5621",U.S.A.,,(212) 949-9190,PJLynfield@lawabel.com,,,(212) 949-9022,,USA,,8/8/2014,D,VICTOR M. TANNENBAUM,VICTOR M. TANNENBAUM
11202,2,ADIDAS SPORTSCHUFABRIKEN ADI DASSLER STIFTUNG & CO.. KG,,P.O. Box 1120,D-8522 HERZOGENAURACH,WEST GERMANY,,,,,,,,GER,,8/8/2014,D,,
11217,2,"AKAI ELECTRIC CO., LTD.",,"11-5, Shin-Yokohama 2-chome,","Kohoku-ku, Yokohama-shi,","Japan 222-0033, Japan",,,,,,,,JPN,,8/8/2014,D,Patent Department,Patent Department
11221,2,ARC PATENT ATTORNEYS' OFFICE,,"Osakasanshin Bldg., 5F, 1-2, Sonezaki 1-chome,","Kita-ku, Osaka-shi, Osaka 530-0057",Japan,JPN,816-6361-6903,kohata@arcpat.net,,,816-6364-8128,,JPN,,1/22/2015,D,Attn.: Tatsuya Arita,Attn.: Tatsuya Arita
11236,2,AWAPATENT AB,,BOX  11394,S-40428 GOTHENBURG,SWEDEN,,,,,,,,SE,,8/8/2014,D,,
11240,2,"BANNER & WITCOFF, LTD.",,Ten South Wacker Drive,"Chicago, Illinois 60606-7407",U.S.A.,,,,,,,,USA,,8/8/2014,P,,
11255,0,INCO LIMITED,,Park 80 West-Plaza Two,"SADDLE BROOK, NJ 07662",U. S. A.,,,,,,,,USA,,8/8/2014,D,Attn.: MR. EDWARD A. STEEN,Attn.: MR. EDWARD A. STEEN
11261,2,AMINO & ASSOCIATES,,3F Kojimachi MK Bldg.,"3 Kojimachi 4-chome, Chiyoda-ku",Tokyo 102-0083 Japan,,81-3-3263-6938,,,,81-3-3264-0595,,JPN,,8/8/2014,D,MAKOTO AMINO,MAKOTO AMINO
11274,0,"AMSTER, ROTHSTEIN & EBENSTEIN",,90 PARK AVENUE,"NEW YORK, NEW YORK  10016",U.S.A,,212 286-0854/0082,,,,212-697-5995,,USA,,8/8/2014,D,Attn. Atty. David R. Brown,Attn. Atty. David R. Brown
11289,2,"BELL, SELTZER, PARK & GIBSON",,1211 East Morehead Street,P. O. Drawer 34009,"Charlotte, N. C. 28234, U. S. A.",,,,,,,,USA,,8/8/2014,D,,
11293,2,SEIWA PATENT & LAW,,"Toranomon 37, Mori Building","3-5-1-, Toranomon, Minato-ku","Tokyo 105, Japan",,81-3-5470-1911,,,,81-3-5470-1900,,JPN,,8/8/2014,D,TAKASHI ISHIDA,TAKASHI ISHIDA
11306,2,MARKS & CLERK,,1 New York Street,Manchester M1 4HD,United Kingdom,ENGLAND,0161-236-5846,manchester@marks-clerk.com,,,0161-233-5800,,END,,8/8/2014,D,,
11310,0,LENZING AKTIENGESELLSCHAFT,,A-4860 Lenzing,Austria,,,,,,,,,AU,,8/8/2014,D,,
11325,2,AKIMOTO & CO.,,New Aoyama Building (West),1-1-1 Minami-Aoyama,"Minato-ku, Tokyo 107   JAPAN",,,,,,,,JPN,,8/8/2014,D,,
11331,2,ASSOCIATED LAW OFFICES,,Zitna 25,11504 Praha 1,Czechoslovakia,,,,,,,,CZ,,8/8/2014,D,Attn.:  DR. SVORCIK,Attn.:  DR. SVORCIK
11344,2,ASAHINA & CO.,,N S Building,"No. 2-22, Tanimachi 2-chome","Chuo-ku, Osaka, 540    JAPAN",,,,,,,,JPN,,8/8/2014,D,,
11359,2,"ASAMURA PATENT OFFICE, P.C.",,"Tennoz Central Tower, 22nd Floor","2-2-24, HIgashi-Shinagawa, Shinagawa-ku","Tokyo 140-0002, Japan",,813-5460-6310,,,,813-5715-8651,,JPN,,8/8/2014,D,Attn.: Mr. Kiyoshi Asamura,Attn.: Mr. Kiyoshi Asamura
11363,2,"BAKER, MAXHAM, JESTER & MEADOR",,Symphony Towers,"750 B"" Street"," Suite 2770""","San Diego, California 92101, U.S.A.",,,,,,,,USA,,Y,8/8/2014,Attention:  TERRANCE A. MEADOR
11378,2,BARLIN ASSOCIATES,,Regent House,1-3 Queensway,"Redhill, Surrey RH1, 1QT",UNITED KINGDOM,01737-231341,BARLIN@BARLIN.CO.UK,,,01737-231340,,UK,,8/8/2014,D,,
11382,2,"BIIC, LTD.",,58 Ma Yuan West St.,Taichung,Taiwan,,,,,,,,TW,,8/8/2014,D,,
11397,2,"BECERRIL, COCA & BECERRIL, S.C.",Leibnitz 117 PH1,Col. Anzures,"Mexico, .D.F. 11590",TAX ID : BC&900920Q50,,,,,,,,ME,,10/24/2017,D,,
11401,2,"KILLWORTH, GOTTMAN, HAGAN & SCHAEFF",,One Dayton Centre,"One South Main Street, Suite 500","Dayton, Ohio 45402-2023, U. S. A.",,,,,,,,USA,,8/8/2014,D,,
11403,2,"DINSMORE & SHOHL, LLP",,"801 Pennsylvania Avenue, N.W.","Suite 610, Washington, DC 20004",,,,,,,,,USA,,11/21/2018,D,,
11414,2,BEECHAM PHARMACEUTICALS,,Great West Road,Brentford,"Middlesex, TW8 9BD",,,,,,,,END,,8/8/2014,D,Biosciences Research Centre,Biosciences Research Centre
11429,2,"BASS & ULLMAN, P.C.",,747 Third Avenue,"New York, N.Y. 10017",U. S. A.,,,,,,,,USA,,8/8/2014,D,Attention:  MR. GAIL R. FRIEDBERG,Attention:  MR. GAIL R. FRIEDBERG
11433,2,"BIRCH, STEWART, KOLASCH AND BIRCH",,8110 Gatehouse Road,"Suite 500 East, P.O. Box 747","Falls Church, Virginia 22042-0747, U. S. A.",,,,,,,,USA,,8/8/2014,D,,
11448,2,BLENDAX GMBH,,"Rheinallee 88, D 6500 Mainz 1",Western Germany,,,,,,,,,GER,,8/8/2014,D,,
11452,2,"STERNAGEL, FLEISCHER, GODEMEYER & PARTNER",,Braunsberger Feld 29,51429 Bergisch Gladback,Germany,,,,,,,,GER,,8/8/2014,D,DR. H.G. STERNAGEL,DR. H.G. STERNAGEL
11467,2,"CARGILL, INCORPORATED",,15407 McGinty Road West,"Wayzata, Minnesota 55391-2399",U. S. A.,,,,,,,,USA,,8/8/2014,D,,
11471,2,BREINER & BREINER,,115 North Henry Street,"Alexandria, Virginia 22314",U. S. A.,,,,,,,,USA,,8/8/2014,D,,
11486,2,"BROWN, MARTIN, HALLER & MCCLAIN",,1660 Union Street,"San Diego, California 92101-2926",U. S. A.,,,,,,,,USA,,8/8/2014,D,,
11490,2,"BUCKMAN LABORATORIES, INC.",,1256 North McLean Boulevard,P. O. Box 8305,"Memphis, Tennessee 38108, U. S. A.",,,,,,,,USA,,8/8/2014,D,,
11503,2,TSAR & TSAI,,"9th Floor, Overseas Trust Bldg.","249 Tun Hwa S. Rd., Sec. 1","Taipei 106, Taiwan, Republic of China",,,,,,,,TW,,8/8/2014,D,,
11518,2,CARRIER CORPORATION,,Bryan D. Rockwell,One Carrier Place,"Farmington, Connecticut 06034",U.S.A.,860-998-3415,ip.dept@carrier.utc.com,,,,,USA,,8/8/2014,D,Bryan D. Rockwell,Bryan D. Rockwell
11522,2,MCNEIL SPECIALTY PRODUCTS COMPANY  I173P,,c/o Johnson & Johnson,Trademark Adm. Billing Section,One Johnson & Johnson Plaza,"New Brunswick, NJ 08933",,,,,,,USA,,8/8/2014,D,,
11537,2,CNH GLOBAL N.V.,,Administrative Offices,700 State Street,"Racine, Wisconsin 53404, U. S. A.",,,julie.flaherty@cnh.com,,,,,USA,,8/8/2014,D,,
11541,2,"CATHAY CUISINE, INC.",,ODC Int'l Plaza Condominium,"219 Salcedo St., Legaspi Village",Makati City,,,,,,,,PH,,10/7/2016,P,Attention: FEDERICO I. PLES,Attention: FEDERICO I. PLES
11556,2,"MCNEIL-PPC, INC.",,c/o JOHNSON & JOHNSON,International Patent Law Division,"P.O. Box 1222 , New Brunswick",N. J. 08903 U. S. A.,,,,,,,USA,,8/8/2014,D,,
11557,2,"MCNEIL-PPC, INC.",,c/o Johnson & Johnson,International Patent Law Division,P.O. Box 1222,"New Brunswick, N. J. 08903, U.S. A.",(732) 524  2134,ksouthco@corus.jnj.com,,,,,USA,,8/8/2014,D,,
11560,2,"CHRISTIE, PARKER & HALE",,"655 n. Central Ave., Suite 2300","Glendale, CA 91203-1445",,U. S. A.,(626) 577-8800,info@cph.com,,,(626) 795-9900,,USA,,8/8/2014,D,,
11575,2,LAEVOSAN-GESELLSCHAFT M.B.H.,,EstermannstraBe 17,A-4020 Linz,Austria,,,,,,,,AU,,8/8/2014,D,Attention:  DR. ARNOLD RICHTER,Attention:  DR. ARNOLD RICHTER
11581,2,"CORKEY INTERNATIONAL, LTD.",,"Flat D, 7/F, Tsuen Tung Factory Building","38-40 Chai Wan Kok Street, Tsuen Wan,",Hongkong,,,,,,,,HK,,8/8/2014,D,.,.
11594,2,"MEDIMEDIA ASIA PTE, LTD.",,10/F B.A. Lepanto Bldg.,8747 Paseo de Roxas,Makati City,,,,,,,,PH,,8/8/2014,P,Attn.: Ms. Annie Fuentes.,Attn.: Ms. Annie Fuentes.
11607,2,"JOHNSON & JOHNSON (PHILS.), INC.         5531",,"Km. 15, Edison Ave., Bo. Ibayo",Paranaque City,,,,,,,,,PH,,3/20/2015,P,,
11611,2,"DENNISON, SCHULTZ, DOUGHERTY & MACDONALD",,"1727 King Street , suite 105","Alexandria, VA 22314-2700",U. S. A.,,(703)-837-0980,mail@dennisonlaw.com,,,(703) -837-9600,,USA,,8/8/2014,D,DONALD L. DENNISON,DONALD L. DENNISON
11626,0,LIM INTERNATIONAL PATENT & LAW FIRM,,Yeong Dong P.O. Box 1208,"Seoul, 135-612",Korea,,,,,,,,KR,,8/8/2014,D,.,.
11630,,DICKSON MINTO W.S.,,11 Walker Street,Edinburgh EH3 7NE,Great Britain,,,,,,,,END,,8/8/2014,,,
11645,2,A/S DUMEX (DUMEX LTD.),,"37, Prags Boulevard",Trade Mark Department,"P.O. Box 1736, DK-2300 Copenhagen S, Denmark",,,,,,,,DE,,8/8/2014,D,,
